filename,version,release_date,tokens,prompt_name
prompts-1.0.96.txt,1.0.96,2025-08-28,13071,claude-code
prompts-1.0.98.txt,1.0.98,2025-08-29,12948,claude-code
prompts-1.0.100.txt,1.0.100,2025-09-01,12951,claude-code
prompts-1.0.102.txt,1.0.102,2025-09-02,12951,claude-code
prompts-1.0.103.txt,1.0.103,2025-09-03,12953,claude-code
prompts-1.0.105.txt,1.0.105,2025-09-04,12953,claude-code
prompts-1.0.106.txt,1.0.106,2025-09-04,13065,claude-code
prompts-1.0.107.txt,1.0.107,2025-09-05,13064,claude-code
prompts-1.0.108.txt,1.0.108,2025-09-05,13066,claude-code
prompts-1.0.109.txt,1.0.109,2025-09-08,13065,claude-code
prompts-1.0.110.txt,1.0.110,2025-09-09,13065,claude-code
prompts-1.0.111.txt,1.0.111,2025-09-10,13179,claude-code
prompts-1.0.112.txt,1.0.112,2025-09-12,13181,claude-code
prompts-1.0.113.txt,1.0.113,2025-09-13,13180,claude-code
prompts-1.0.114.txt,1.0.114,2025-09-15,13179,claude-code
prompts-1.0.115.txt,1.0.115,2025-09-16,13178,claude-code
prompts-1.0.116.txt,1.0.116,2025-09-16,13180,claude-code
prompts-1.0.117.txt,1.0.117,2025-09-16,13179,claude-code
prompts-1.0.118.txt,1.0.118,2025-09-17,13179,claude-code
prompts-1.0.119.txt,1.0.119,2025-09-18,13190,claude-code
prompts-1.0.120.txt,1.0.120,2025-09-19,13190,claude-code
prompts-1.0.122.txt,1.0.122,2025-09-23,13408,claude-code
prompts-1.0.123.txt,1.0.123,2025-09-23,13409,claude-code
prompts-1.0.124.txt,1.0.124,2025-09-25,13755,claude-code
prompts-1.0.125.txt,1.0.125,2025-09-25,13827,claude-code
prompts-1.0.126.txt,1.0.126,2025-09-26,13826,claude-code
prompts-1.0.127.txt,1.0.127,2025-09-26,13827,claude-code
prompts-1.0.128.txt,1.0.128,2025-09-27,13678,claude-code
prompts-2.0.0.txt,2.0.0,2025-09-29,12784,claude-code
prompts-2.0.1.txt,2.0.1,2025-09-30,12782,claude-code
prompts-2.0.2.txt,2.0.2,2025-09-30,12877,claude-code
prompts-2.0.3.txt,2.0.3,2025-10-02,12877,claude-code
prompts-2.0.5.txt,2.0.5,2025-10-02,12783,claude-code
prompts-2.0.8.txt,2.0.8,2025-10-04,12933,claude-code
prompts-2.0.9.txt,2.0.9,2025-10-06,12931,claude-code
prompts-2.0.10.txt,2.0.10,2025-10-07,12930,claude-code
prompts-2.0.11.txt,2.0.11,2025-10-08,12158,claude-code
prompts-2.0.12.txt,2.0.12,2025-10-09,12192,claude-code
prompts-2.0.13.txt,2.0.13,2025-10-09,12193,claude-code
prompts-2.0.14.txt,2.0.14,2025-10-10,12273,claude-code
prompts-2.0.15.txt,2.0.15,2025-10-14,12273,claude-code
prompts-2.0.17.txt,2.0.17,2025-10-15,12473,claude-code
prompts-2.0.18.txt,2.0.18,2025-10-15,12514,claude-code
prompts-2.0.19.txt,2.0.19,2025-10-15,12513,claude-code
prompts-2.0.20.txt,2.0.20,2025-10-16,12821,claude-code
prompts-2.0.21.txt,2.0.21,2025-10-16,12956,claude-code
prompts-2.0.22.txt,2.0.22,2025-10-17,12956,claude-code
prompts-2.0.23.txt,2.0.23,2025-10-20,12957,claude-code
prompts-2.0.24.txt,2.0.24,2025-10-20,13024,claude-code
prompts-2.0.25.txt,2.0.25,2025-10-21,13005,claude-code
prompts-2.0.26.txt,2.0.26,2025-10-23,13006,claude-code
prompts-2.0.27.txt,2.0.27,2025-10-24,13005,claude-code
prompts-2.0.28.txt,2.0.28,2025-10-27,13191,claude-code
prompts-2.0.29.txt,2.0.29,2025-10-29,13254,claude-code
prompts-2.0.30.txt,2.0.30,2025-10-30,13212,claude-code
prompts-2.0.31.txt,2.0.31,2025-10-31,13258,claude-code
prompts-2.0.32.txt,2.0.32,2025-11-03,13330,claude-code
prompts-2.0.33.txt,2.0.33,2025-11-04,13329,claude-code
prompts-2.0.34.txt,2.0.34,2025-11-05,13396,claude-code
prompts-2.0.35.txt,2.0.35,2025-11-06,13396,claude-code
prompts-2.0.36.txt,2.0.36,2025-11-07,13355,claude-code
prompts-2.0.37.txt,2.0.37,2025-11-10,13356,claude-code
prompts-2.0.41.txt,2.0.41,2025-11-14,13352,claude-code
prompts-2.0.42.txt,2.0.42,2025-11-14,13351,claude-code
prompts-2.0.43.txt,2.0.43,2025-11-17,13452,claude-code
prompts-2.0.44.txt,2.0.44,2025-11-18,13452,claude-code
prompts-2.0.45.txt,2.0.45,2025-11-18,13502,claude-code
prompts-2.0.46.txt,2.0.46,2025-11-19,13598,claude-code
prompts-2.0.47.txt,2.0.47,2025-11-19,13837,claude-code
prompts-2.0.49.txt,2.0.49,2025-11-21,13742,claude-code
prompts-2.0.50.txt,2.0.50,2025-11-21,13868,claude-code
prompts-2.0.51.txt,2.0.51,2025-11-24,14645,claude-code
prompts-2.0.52.txt,2.0.52,2025-11-24,14644,claude-code
prompts-2.0.53.txt,2.0.53,2025-11-25,14645,claude-code
prompts-2.0.54.txt,2.0.54,2025-11-25,14644,claude-code
prompts-2.0.55.txt,2.0.55,2025-11-26,14644,claude-code
prompts-2.0.56.txt,2.0.56,2025-12-01,14632,claude-code
prompts-2.0.57.txt,2.0.57,2025-12-03,14633,claude-code
prompts-2.0.58.txt,2.0.58,2025-12-03,14633,claude-code
prompts-2.0.59.txt,2.0.59,2025-12-04,14632,claude-code
prompts-2.0.60.txt,2.0.60,2025-12-05,15095,claude-code
prompts-2.0.61.txt,2.0.61,2025-12-07,15095,claude-code
prompts-2.0.62.txt,2.0.62,2025-12-09,15375,claude-code
prompts-2.0.63.txt,2.0.63,2025-12-09,15376,claude-code
prompts-2.0.64.txt,2.0.64,2025-12-10,15376,claude-code
prompts-2.0.65.txt,2.0.65,2025-12-11,15118,claude-code
prompts-2.0.66.txt,2.0.66,2025-12-11,15117,claude-code
prompts-2.0.67.txt,2.0.67,2025-12-11,15116,claude-code
prompts-2.0.68.txt,2.0.68,2025-12-12,15170,claude-code
prompts-2.0.69.txt,2.0.69,2025-12-13,15170,claude-code
prompts-2.0.70.txt,2.0.70,2025-12-15,15169,claude-code
prompts-2.0.71.txt,2.0.71,2025-12-16,16057,claude-code
prompts-2.0.72.txt,2.0.72,2025-12-17,16076,claude-code
prompts-2.0.73.txt,2.0.73,2025-12-18,15753,claude-code
prompts-2.0.74.txt,2.0.74,2025-12-19,16067,claude-code
prompts-2.0.75.txt,2.0.75,2025-12-20,16015,claude-code
prompts-2.0.76.txt,2.0.76,2025-12-22,16016,claude-code
prompts-2.0.77.txt,2.0.77,2026-01-06,16080,claude-code
prompts-2.1.0.txt,2.1.0,2026-01-07,15579,claude-code
prompts-2.1.1.txt,2.1.1,2026-01-07,15579,claude-code
prompts-2.1.2.txt,2.1.2,2026-01-08,15642,claude-code
prompts-2.1.3.txt,2.1.3,2026-01-09,16004,claude-code
prompts-2.1.4.txt,2.1.4,2026-01-10,16005,claude-code
prompts-2.1.5.txt,2.1.5,2026-01-11,16005,claude-code
prompts-2.1.6.txt,2.1.6,2026-01-13,16623,claude-code
prompts-2.1.7.txt,2.1.7,2026-01-13,16650,claude-code
prompts-2.1.8.txt,2.1.8,2026-01-15,16639,claude-code
prompts-2.1.9.txt,2.1.9,2026-01-15,16682,claude-code
prompts-2.1.10.txt,2.1.10,2026-01-17,16652,claude-code
prompts-2.1.11.txt,2.1.11,2026-01-17,16653,claude-code
prompts-2.1.12.txt,2.1.12,2026-01-17,16652,claude-code
prompts-2.1.14.txt,2.1.14,2026-01-20,16273,claude-code
prompts-2.1.15.txt,2.1.15,2026-01-21,16431,claude-code
prompts-2.1.16.txt,2.1.16,2026-01-22,16627,claude-code
prompts-2.1.17.txt,2.1.17,2026-01-22,16626,claude-code
prompts-2.1.18.txt,2.1.18,2026-01-22,16626,claude-code
prompts-2.1.19.txt,2.1.19,2026-01-23,16501,claude-code
prompts-2.1.20.txt,2.1.20,2026-01-27,16431,claude-code
prompts-2.1.21.txt,2.1.21,2026-01-28,16456,claude-code
prompts-2.1.22.txt,2.1.22,2026-01-28,16455,claude-code
prompts-2.1.23.txt,2.1.23,2026-01-29,16409,claude-code
prompts-2.1.25.txt,2.1.25,2026-01-29,16561,claude-code
2025-04-16_e323b2cc9_ts-agent-loop-prompt.txt,2025-04-16_e323b2cc9,2025-04-16,1010,ts-agent-loop
2025-04-16_59a180dde_ts-agent-loop-prompt.txt,2025-04-16_59a180dde,2025-04-16,1049,ts-agent-loop
2025-04-16_71a1ff6ee_ts-agent-loop-prompt.txt,2025-04-16_71a1ff6ee,2025-04-16,1007,ts-agent-loop
2025-04-16_1c26c272c_ts-agent-loop-prompt.txt,2025-04-16_1c26c272c,2025-04-16,1049,ts-agent-loop
2025-04-17_b5fad66e2_ts-agent-loop-prompt.txt,2025-04-17_b5fad66e2,2025-04-17,1008,ts-agent-loop
2025-04-22_dc096302e_ts-agent-loop-prompt.txt,2025-04-22_dc096302e,2025-04-22,1085,ts-agent-loop
2025-04-22_a30e79b76_ts-agent-loop-prompt.txt,2025-04-22_a30e79b76,2025-04-22,1085,ts-agent-loop
2025-04-24_31d0d7a30_prompt.txt,2025-04-24_31d0d7a30,2025-04-24,1332,prompt
2025-05-14_678f0dbfe_ts-agent-loop-prompt.txt,2025-05-14_678f0dbfe,2025-05-14,1011,ts-agent-loop
2025-05-16_c6e08ad8c_ts-agent-loop-prompt.txt,2025-05-16_c6e08ad8c,2025-05-16,990,ts-agent-loop
2025-07-31_6ce0a5875_prompt.txt,2025-07-31_6ce0a5875,2025-07-31,1584,prompt
2025-08-04_a6139aa00_prompt.txt,2025-08-04_a6139aa00,2025-08-04,1571,prompt
2025-08-04_063083af1_prompt.txt,2025-08-04_063083af1,2025-08-04,1613,prompt
2025-08-05_d31e149cb_prompt.txt,2025-08-05_d31e149cb,2025-08-05,2148,prompt
2025-08-07_81b148bda_prompt.txt,2025-08-07_81b148bda,2025-08-07,5031,prompt
2025-08-12_90d892f4f_prompt.txt,2025-08-12_90d892f4f,2025-08-12,5129,prompt
2025-08-13_30ee24521_prompt.txt,2025-08-13_30ee24521,2025-08-13,5082,prompt
2025-08-21_e4c275d61_prompt.txt,2025-08-21_e4c275d61,2025-08-21,4534,prompt
2025-08-26_3d8bca781_prompt.txt,2025-08-26_3d8bca781,2025-08-26,4684,prompt
2025-09-03_4ae45a6c8_prompt.txt,2025-09-03_4ae45a6c8,2025-09-03,4673,prompt
2025-09-04_bef7ed0cc_prompt.txt,2025-09-04_bef7ed0cc,2025-09-04,4953,prompt
2025-09-12_90a0fd342_review_prompt.txt,2025-09-12_90a0fd342,2025-09-12,1371,review
2025-09-14_a79705192_swiftfox_prompt.txt,2025-09-14_a79705192,2025-09-14,1918,swiftfox
2025-09-14_916fdc2a3_gpt_5_codex_prompt.txt,2025-09-14_916fdc2a3,2025-09-14,2175,gpt-5-codex
2025-09-14_a79705192_gpt_5_codex_prompt.txt,2025-09-14_a79705192,2025-09-14,1918,gpt-5-codex
2025-09-14_916fdc2a3_swiftfox_prompt.txt,2025-09-14_916fdc2a3,2025-09-14,2175,swiftfox
2025-09-15_d60cbed69_swiftfox_prompt.txt,2025-09-15_d60cbed69,2025-09-15,2090,swiftfox
2025-09-15_f037b2fd5_gpt_5_codex_prompt.txt,2025-09-15_f037b2fd5,2025-09-15,2096,gpt-5-codex
2025-09-15_b1c291e2b_prompt.txt,2025-09-15_b1c291e2b,2025-09-15,5125,prompt
2025-09-15_d60cbed69_gpt_5_codex_prompt.txt,2025-09-15_d60cbed69,2025-09-15,2090,gpt-5-codex
2025-09-17_c9505488a_gpt_5_codex_prompt.txt,2025-09-17_c9505488a,2025-09-17,2234,gpt-5-codex
2025-09-30_f6a152848_gpt_5_codex_prompt.txt,2025-09-30_f6a152848,2025-09-30,2300,gpt-5-codex
2025-10-01_5d78c1edd_gpt_5_codex_prompt.txt,2025-10-01_5d78c1edd,2025-10-01,2234,gpt-5-codex
2025-10-01_35c76ad47_gpt_5_codex_prompt.txt,2025-10-01_35c76ad47,2025-10-01,2236,gpt-5-codex
2025-10-04_0ad1b0782_gpt_5_codex_prompt.txt,2025-10-04_0ad1b0782,2025-10-04,2344,gpt-5-codex
2025-10-31_f842849be_review_prompt.txt,2025-10-31_f842849be,2025-10-31,1371,review
2025-11-06_8c75ed39d_gpt_5_codex_prompt.txt,2025-11-06_8c75ed39d,2025-11-06,2357,gpt-5-codex
2025-11-12_ec69a4a81_gpt_5_1_prompt.txt,2025-11-12_ec69a4a81,2025-11-12,5125,gpt-5-1
2025-11-13_8dcbd29ed_gpt_5_1_prompt.txt,2025-11-13_8dcbd29ed,2025-11-13,6057,gpt-5-1
2025-11-17_daf77b845_gpt_5_codex_prompt.txt,2025-11-17_daf77b845,2025-11-17,2304,gpt-5-codex
2025-11-17_daf77b845_gpt_5_1_prompt.txt,2025-11-17_daf77b845,2025-11-17,6018,gpt-5-1
2025-11-18_7e0e675db_arcticfox_prompt.txt,2025-11-18_7e0e675db,2025-11-18,2495,arcticfox
2025-11-19_d5dfba250_gpt-5.1-codex-max_prompt.txt,2025-11-19_d5dfba250,2025-11-19,2494,gpt-5.1-codex-max
2025-12-10_e0fb3ca1d_gpt-5.1-codex-max_prompt.txt,2025-12-10_e0fb3ca1d,2025-12-10,2484,gpt-5.1-codex-max
